会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL,日時,連絡禁止,初回アポ済み
株式会社Skyfall,高木,03-6869-9143,pr@skyfall.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000039.000045762.html,2023-05-21 17:57:51,"",""
Connehito株式会社,"","",pr@connehito.com,アプリ,https://prtimes.jp/main/html/rd/p/000000140.000019831.html,2023-05-21 17:58:21,"",""
A＆Mグループ株式会社,加瀬裕一,043-376-5989,info@for-artist.com　FAX：043-332-9823,アプリ,https://prtimes.jp/main/html/rd/p/000000017.000089058.html,2023-05-21 18:00:22,"",""
株式会社デザイニウム,町田、秦,050-3417-1827,:pr@thedesignium.com,アプリ,https://prtimes.jp/main/html/rd/p/000000022.000043186.html,2023-05-21 18:02:03,"",""
株式会社FCE Holdings,安宅奈津子（あたけなつこ）,03-5908-1409,natsuko-atake@fce-hd.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000172.000029370.html,2023-05-21 18:03:48,"",""
トイウェア株式会社,小林,03-6435-9129,butaiura@toiware.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000029.000037329.html,2023-05-21 18:04:57,"",""
株式会社鉄人化計画,"",03-3793-5111,alliance@tetsujinka.com,アプリ,https://prtimes.jp/main/html/rd/p/000000151.000083851.html,2023-05-21 18:06:09,"",""
株式会社イオレ,　岡松,050-1802-7135,press@eole.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000138.000030850.html,2023-05-21 18:08:24,"",""
株式会社Fanplus,"","",press@fanplus.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000403.000002848.html,2023-05-21 18:08:57,"",""
株式会社ブシロード,高比良,"",bdp_team@bushiroad.com,アプリ,https://prtimes.jp/main/html/rd/p/000006733.000014827.html,2023-05-21 18:10:44,"",""
株式会社PLAY,大野、古澤、野尻,03-5784-8064,uliza_pr@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000047.000048688.html,2023-05-21 18:11:19,"",""
株式会社Habitto,"",03-6741-7215,habitto@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000009.000093571.html,2023-05-21 18:12:29,"",""
株式会社Finatextホールディングス,　古川,"",press@smartplus-sec.com,アプリ,https://prtimes.jp/main/html/rd/p/000000293.000012138.html,2023-05-21 18:13:00,"",""
有限会社教育図書二十一,本宮彩乃,03-3971-5271,am@urstudx.com,アプリ,https://prtimes.jp/main/html/rd/p/000000016.000090496.html,2023-05-21 18:16:33,"",""
Classi株式会社,飯島,"",pr@classi.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000043.000040573.html,2023-05-21 18:17:11,"",""
インフロニア・ホールディングス株式会社,"","",infroneer-release@infroneer.com,アプリ,https://prtimes.jp/main/html/rd/p/000000002.000121668.html,2023-05-21 18:21:06,"",""
株式会社パイ・アール,"",06-6948-8011,marketing@pai-r.com,アプリ,https://prtimes.jp/main/html/rd/p/000000027.000087017.html,2023-05-21 18:21:38,"",""
Snap Inc.,小市（携帯：080-3087-2423）、安藤 ‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,"",snapchat@ssu.co.jp‬,アプリ,https://prtimes.jp/main/html/rd/p/000000050.000083919.html,2023-05-21 18:23:43,"",""
HITOWAホールディングス株式会社,広報企画部 横田・小宮,03-6632-7700,pr-hd@hitowa.com,アプリ,https://prtimes.jp/main/html/rd/p/000000073.000019127.html,2023-05-21 18:25:32,"",""
株式会社A Inc.,"","",press@jig.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000036.000003993.html,2023-05-21 18:26:41,"",""
株式会社マネーフォワード,森谷,"",pr@moneyforward.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001052.000008962.html,2023-05-21 18:27:14,"",""
株式会社RABO,"","",pr@rabo.cat,アプリ,https://prtimes.jp/main/html/rd/p/000000053.000037478.html,2023-05-21 18:29:36,"",""
SIIG株式会社,熊澤,080-5402-3226,kumazawa@siig.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000007.000083899.html,2023-05-21 18:30:46,"",""
株式会社くふうカンパニー,"",03-6435-1687,pr@locoguide.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000290.000046400.html,2023-05-21 18:32:44,"",""
STORES 株式会社,"","",pr@st.inc,アプリ,https://prtimes.jp/main/html/rd/p/000000145.000031375.html,2023-05-21 18:39:56,"",""
株式会社オトバンク,　佐伯帆乃香,03-5805-2915,hsaeki@otobank.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000305.000034798.html,2023-05-21 18:40:33,"",""
株式会社Relic,佐々木,03-6455-0735,info@relic.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000157.000016318.html,2023-05-21 18:42:19,"",""
GMOインターネットグループ,　山崎,03-5456-2555,pr＠gmo.jp,アプリ,https://prtimes.jp/main/html/rd/p/000003985.000000136.html,2023-05-21 18:44:10,"",""
株式会社ナック,松田,03-3346-2111,irpr@nacoo.com,アプリ,https://prtimes.jp/main/html/rd/p/000000122.000009874.html,2023-05-21 18:46:23,"",""
Futonto 株式会社,坂野,042-732-6667,press@futonto.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000398.000019730.html,2023-05-21 18:48:44,"",""
株式会社VIC GAME STUDIOS JAPAN,"","",vicjp@vicgamestudios.com,アプリ,https://prtimes.jp/main/html/rd/p/000000011.000106108.html,2023-05-21 18:51:57,"",""
株式会社タスキ,高柴,03-6812-9330,ir@tasukicorp.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000063.000051940.html,2023-05-21 18:52:34,"",""
DreamHack Japan実行委員会,"","",dreamhackjp_pr@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000020.000109760.html,2023-05-21 18:54:31,"",""
株式会社ギックス,"",03-3452-1221,info@gixo.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000115.000080464.html,2023-05-21 18:55:01,"",""
株式会社トレタ,"",03-6431-9006,pr@toreta.in,アプリ,https://prtimes.jp/main/html/rd/p/000000050.000038464.html,2023-05-21 18:58:30,"",""
株式会社ツナググループ・ホールディングス,"",03-3569-2790,tghd-info@tsunagu-grp.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000273.000004558.html,2023-05-21 18:59:39,"",""
株式会社Gemcook,有田 秀永,06-6485-8112,info@gemcook.com,アプリ,https://prtimes.jp/main/html/rd/p/000000003.000074835.html,2023-05-21 19:00:12,"",""
株式会社HYBE JAPAN,"","",press_hbj_corporate@hybecorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000000240.000045862.html,2023-05-21 19:01:40,"",""
HiClub株式会社,"","",info@hiclub.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000031.000079070.html,2023-05-21 19:03:50,"",""
株式会社SKIYAKI,"",03-5428-8378,info@skiyaki.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000942.000017372.html,2023-05-21 19:17:45,"",""
株式会社トルビズオン,中園,070-8487-9227,service@truebizon.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000082.000046605.html,2023-05-21 19:18:16,"",""
日本マネジメント総合研究所合同会社,"",050-3196-4513,info@jmri.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000455.000025058.html,2023-05-21 19:18:48,"",""
Groov株式会社,⽥⼝直起,04-7167-3004,groov-info@groov.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000024.000098805.html,2023-05-21 19:19:20,"",""
株式会社ビルドサロン,"","",info@buildsalon.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000628.000048988.html,2023-05-21 19:20:46,"",""
株式会社セガ,"","",koba@dsds.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000005124.000005397.html,2023-05-21 19:21:27,"",""
Guangzhou Shangke Information Technology Co. Ltd,"","",stefanli@teclast.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000273.000080488.html,2023-05-21 19:22:05,"",""
株式会社ディ・テクノ,松本（まつもと）,"",yu.matsumoto@d-techno.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000516.000006779.html,2023-05-21 19:23:37,"",""
株式会社Typebase,"","",info@typebase.dev,テクノロジー,https://prtimes.jp/main/html/rd/p/000000007.000106834.html,2023-05-21 19:23:53,"",""
株式会社ファーストロジック,金子（かねこ）・尾藤（びとう）,03-6833-9438,rakumachi@firstlogic.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000426.000001240.html,2023-05-21 19:25:15,"",""
BuzzFeed Japan株式会社,　三品（みしな）,080-9163-0196,japan-pr@buzzfeed.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000150.000019238.html,2023-05-21 19:28:31,"",""
VicOne Inc.,松野、大島、阿蘇品（あそしな）,"",vicone-pr@kyodo-pr.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000001.000122275.html,2023-05-21 19:30:14,"",""
株式会社IoTコンサルティング,"",03-6277-7530,info@economical.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000041.000019031.html,2023-05-21 19:32:30,"",""
株式会社Ginco,上月,"",press@ginco.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000076.000031033.html,2023-05-21 19:35:35,"",""
東日本電信電話株式会社,"","",kouhou-ibaraki-gm@east.ntt.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000625.000098811.html,2023-05-21 19:36:55,"",""
独立行政法人日本スポーツ振興センター,稲生（070-7522-1104）／髙田（070-8834-6138）／及川（070-4540-7718）,03-5410-9124,winner.pr@materialpr.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000055.000045157.html,2023-05-21 19:38:11,"",""
GROOVE X 株式会社,金子(070-3197-6111)、森川(080-7179-4917)、石曽根,"",lovot_pr@groove-x.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000216.000055543.html,2023-05-21 19:42:58,"",""
合同会社EXNOA,"",03-5797-8914,dmmgames-press@dmm.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000004103.000032953.html,2023-05-21 19:43:56,"",""
株式会社WOWOWプラス,"",03-6702-0240,suzuki.mako@wowowplus.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000159.000084776.html,2023-05-21 19:44:30,"",""
スポーツナビ株式会社,"","",sportsnavi-pr@mail.yahoo.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000103.000077000.html,2023-05-21 19:48:07,"",""
株式会社フジクラ,コーポレートコミュニケーション部,03-5606-1030,wwwadmin@jp.fujikura.com FAX：03-5606-1501,テクノロジー,https://prtimes.jp/main/html/rd/p/000000040.000056990.html,2023-05-21 19:48:48,"",""
株式会社セキド,藤井,03-5843-7836,t.fujii@sekidocorp.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000562.000016343.html,2023-05-21 19:49:23,"",""
ＹＡＣＹＢＥＲ株式会社,石井,06-6226-7894,ishii@yacyber.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000095.000027568.html,2023-05-21 19:52:47,"",""
ネットアップ合同会社,長嶋・小黒・宮下・山崎,"",netapp@vectorinc.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000080.000047898.html,2023-05-21 19:54:55,"",""
東日本電信電話株式会社,　水谷、金石、徳丸,"",kanagawa-kouhou-ml@east.ntt.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000623.000098811.html,2023-05-21 19:55:59,"",""
東日本電信電話株式会社,"","",kouhou-tokyo-ml@east.ntt.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000622.000098811.html,2023-05-21 19:56:36,"",""
クラスメソッド株式会社,（土肥）,"",pr@classmethod.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000328.000014901.html,2023-05-21 19:56:54,"",""
株式会社アイデミー,　濱谷（はまたに）,"",pr@aidemy.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000277.000028316.html,2023-05-21 19:57:10,"",""
LINGER Corp.,吉野,050-5539-7447,mai0923@lingercorp.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000009.000101595.html,2023-05-21 19:57:52,"",""
株式会社外為どっとコム,大嶋、小野,03-5733-3061,seminar@gaitamesk.info,テクノロジー,https://prtimes.jp/main/html/rd/p/000000436.000052387.html,2023-05-21 19:58:19,"",""
株式会社natos,"",03-6262-7708,contact@natos.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000011.000093582.html,2023-05-21 19:58:40,"",""
株式会社スタイルポート,遠藤　a.endo@styleport.co.jp/070-4305-6895,03-6812-9555,https://styleport.co.jp/contact/,テクノロジー,https://prtimes.jp/main/html/rd/p/000000071.000031224.html,2023-05-21 19:59:39,"",""
株式会社G-gen,鈴木、髙松,03-6387-3115,marketing@g-gen.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000062.000094022.html,2023-05-21 20:00:07,"",""
APPLE TREE 株式会社,田中　奎亮,06-6710-9061,info@apple-tree.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000053.000030909.html,2023-05-21 20:00:35,"",""
株式会社エフェクチュアル,平賀（ひらが）,03-6447-2175,a.hiraga.nj@effectual.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000123.000039683.html,2023-05-21 20:01:11,"",""
ARCHIPELAGO株式会社,"",03-6823-5173,contact@arcplg.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000001.000121884.html,2023-05-21 20:02:09,"",""
株式会社うるる,小林・高橋,"",pr@uluru.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000160.000049287.html,2023-05-21 20:02:26,"",""
株式会社ＮＴＴデータ,"","",nttdata-cert@kits.nttdata.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000144.000016308.html,2023-05-21 20:04:29,"",""
GMOインターネットグループ,"",03-5456-2555,pr@gmo.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000004003.000000136.html,2023-05-21 20:04:45,"",""
AnyMind Group株式会社,"",03-6384-5540,jp-pr@anymindgroup.com / moto@anyminggroup.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000282.000018392.html,2023-05-21 20:05:19,"",""
パナソニック インフォメーションシステムズ株式会社,"",06-6906-2801,press-pisc@ml.jp.panasonic.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000581.000001723.html,2023-05-21 20:07:20,"",""
株式会社ダイテック,"","",etani.akira@daitec.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000015.000095448.html,2023-05-21 20:09:04,"",""
楽天グループ株式会社,"","",rmobile-pr-s@mail.rakuten.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000001963.000005889.html,2023-05-21 20:11:44,"",""
LRM株式会社,土井（どい）,078-325-5600,doi@lrm.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000096.000054434.html,2023-05-21 20:12:52,"",""
Polimill株式会社,三神涼（みかみりょう）,"",press@polimill.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000093.000088829.html,2023-05-21 20:16:01,"",""
株式会社TENT,小林,"",info@tent-inc.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000018.000028019.html,2023-05-21 20:16:34,"",""
株式会社クロスキャット,： 森田,03-3474-5251,： pr@xcat.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000115.000025288.html,2023-05-21 20:17:09,"",""
株式会社オービックビジネスコンサルタント,"",03-3342-1950,pr@obc.co.jpホームページ　https://www.obc.co.jp/,テクノロジー,https://prtimes.jp/main/html/rd/p/000000125.000026471.html,2023-05-21 20:18:24,"",""
パーフェクト株式会社,"",03-6809-1135,contact_pr_jpn@PerfectCorp.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000135.000066482.html,2023-05-21 20:23:54,"",""
アンリツ株式会社,"",046-223-1111,PR@anritsu.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000011.000109169.html,2023-05-21 20:24:32,"",""
株式会社アイティフォー,"",03-5275-7841,kouhou_ml@itfor.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000051.000060050.html,2023-05-21 20:25:43,"",""
能美防災株式会社,"",03-3265-0211,kouhou@nohmi.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000019.000085174.html,2023-05-21 20:26:17,"",""
株式会社スタメン,上田 すなお,052-990-2412,pr@stmn.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000109.000023589.html,2023-05-21 20:29:20,"",""
(ISC)²,"","",ISC2JapanPR@ashton.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000012.000103584.html,2023-05-21 20:33:19,"",""
株式会社アバランチ,コミュニケーションデザイン室　西川,06-6479-2401,mackerel38-nft@avalanche.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000012.000034493.html,2023-05-21 20:35:43,"",""
株式会社オルツ,⻄澤,03-6380-7076,alt.ai@vectorinc.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000032.000111359.html,2023-05-21 20:36:20,"",""
株式会社レンサ,山田吉成,03-6457-5500,info@rensa.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000404.000074768.html,2023-05-21 20:37:21,"",""
株式会社ビーグリー,宛,03-6706-4000,pr_ir@beaglee.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000346.000034768.html,2023-05-21 20:37:59,"",""
freee株式会社,(PR)　品田真季,"",pr@freee.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000001161.000006428.html,2023-05-21 20:39:36,"",""
株式会社ZWEI,"",03-6858-0281,pr@zwei.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000133.000066446.html,2023-05-21 20:40:43,"",""
ＴＩＳ株式会社,"",03-5337-4232,press@intec.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000001355.000011650.html,2023-05-21 20:41:56,"",""
株式会社コンカー,白川,03-6737-4300,concur@inoue-pr.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000137.000048283.html,2023-05-21 20:42:31,"",""
株式会社KADOKAWA,"","",ds-maho-press@ml.kadokawa.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000012693.000007006.html,2023-05-21 20:43:32,"",""
株式会社ターン・アンド・フロンティア,岩本、北畠,06-7878-8555,pr@taf-jp.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000002.000107928.html,2023-05-21 20:46:27,"",""
ウイングアーク１ｓｔ株式会社,　山本・古荘・中谷,03-5962-7400,pr@wingarc.com,テクノロジー,https://prtimes.jp/main/html/rd/p/000000110.000053341.html,2023-05-21 20:48:10,"",""
株式会社慶洋エンジニアリング,権八,03-3431-8151,h_gonpa@keiyoeng.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000056.000039659.html,2023-05-21 20:48:44,"",""
株式会社QuickWork,山下、熊谷,"",pr@quickwork.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000280.000049221.html,2023-05-21 20:50:58,"",""
株式会社レコチョク,"","",pub@recochoku.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000001557.000002747.html,2023-05-21 20:51:37,"",""
株式会社Leaner Technologies,"",03-4500-8520,pr@leaner.co.jp,テクノロジー,https://prtimes.jp/main/html/rd/p/000000091.000044088.html,2023-05-21 20:52:12,"",""
