会社名,prtimesのURL,メールアドレス,電話番号,担当者,カテゴリ,日時,連絡禁止,初回アポ済み
株式会社Skyfall,https://prtimes.jp/main/html/rd/p/000000039.000045762.html,pr@skyfall.co.jp,03-6869-9143,高木,アプリ,2023-06-25 12:16:40,"",""
Connehito株式会社,https://prtimes.jp/main/html/rd/p/000000140.000019831.html,pr@connehito.com,"","",アプリ,2023-06-25 12:16:40,"",""
A＆Mグループ株式会社,https://prtimes.jp/main/html/rd/p/000000017.000089058.html,info@for-artist.com　FAX：043-332-9823,043-376-5989,加瀬裕一,アプリ,2023-06-25 12:16:40,"",""
株式会社デザイニウム,https://prtimes.jp/main/html/rd/p/000000022.000043186.html,:pr@thedesignium.com,050-3417-1827,町田、秦,アプリ,2023-06-25 12:16:40,"",""
株式会社FCE Holdings,https://prtimes.jp/main/html/rd/p/000000172.000029370.html,natsuko-atake@fce-hd.co.jp,03-5908-1409,安宅奈津子（あたけなつこ）,アプリ,2023-06-25 12:16:40,"",""
トイウェア株式会社,https://prtimes.jp/main/html/rd/p/000000029.000037329.html,butaiura@toiware.co.jp,03-6435-9129,小林,アプリ,2023-06-25 12:16:40,"",""
株式会社鉄人化計画,https://prtimes.jp/main/html/rd/p/000000151.000083851.html,alliance@tetsujinka.com,03-3793-5111,"",アプリ,2023-06-25 12:16:40,"",""
株式会社イオレ,https://prtimes.jp/main/html/rd/p/000000138.000030850.html,press@eole.co.jp,050-1802-7135,　岡松,アプリ,2023-06-25 12:16:40,"",""
株式会社Fanplus,https://prtimes.jp/main/html/rd/p/000000403.000002848.html,press@fanplus.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ブシロード,https://prtimes.jp/main/html/rd/p/000006733.000014827.html,bdp_team@bushiroad.com,"",高比良,アプリ,2023-06-25 12:16:40,"",""
株式会社PLAY,https://prtimes.jp/main/html/rd/p/000000047.000048688.html,uliza_pr@vectorinc.co.jp,03-5784-8064,大野、古澤、野尻,アプリ,2023-06-25 12:16:40,"",""
株式会社Habitto,https://prtimes.jp/main/html/rd/p/000000009.000093571.html,habitto@vectorinc.co.jp,03-6741-7215,"",アプリ,2023-06-25 12:16:40,"",""
株式会社Finatextホールディングス,https://prtimes.jp/main/html/rd/p/000000293.000012138.html,press@smartplus-sec.com,"",　古川,アプリ,2023-06-25 12:16:40,"",""
有限会社教育図書二十一,https://prtimes.jp/main/html/rd/p/000000016.000090496.html,am@urstudx.com,03-3971-5271,本宮彩乃,アプリ,2023-06-25 12:16:40,"",""
Classi株式会社,https://prtimes.jp/main/html/rd/p/000000043.000040573.html,pr@classi.jp,"",飯島,アプリ,2023-06-25 12:16:40,"",""
インフロニア・ホールディングス株式会社,https://prtimes.jp/main/html/rd/p/000000002.000121668.html,infroneer-release@infroneer.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社パイ・アール,https://prtimes.jp/main/html/rd/p/000000027.000087017.html,marketing@pai-r.com,06-6948-8011,"",アプリ,2023-06-25 12:16:40,"",""
Snap Inc.,https://prtimes.jp/main/html/rd/p/000000050.000083919.html,snapchat@ssu.co.jp‬,"",小市（携帯：080-3087-2423）、安藤 ‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,アプリ,2023-06-25 12:16:40,"",""
HITOWAホールディングス株式会社,https://prtimes.jp/main/html/rd/p/000000073.000019127.html,pr-hd@hitowa.com,03-6632-7700,広報企画部 横田・小宮,アプリ,2023-06-25 12:16:40,"",""
株式会社A Inc.,https://prtimes.jp/main/html/rd/p/000000036.000003993.html,press@jig.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社マネーフォワード,https://prtimes.jp/main/html/rd/p/000001052.000008962.html,pr@moneyforward.co.jp,"",森谷,アプリ,2023-06-25 12:16:40,"",""
株式会社RABO,https://prtimes.jp/main/html/rd/p/000000053.000037478.html,pr@rabo.cat,"","",アプリ,2023-06-25 12:16:40,"",""
SIIG株式会社,https://prtimes.jp/main/html/rd/p/000000007.000083899.html,kumazawa@siig.jp,080-5402-3226,熊澤,アプリ,2023-06-25 12:16:40,"",""
株式会社くふうカンパニー,https://prtimes.jp/main/html/rd/p/000000290.000046400.html,pr@locoguide.co.jp,03-6435-1687,"",アプリ,2023-06-25 12:16:40,"",""
STORES 株式会社,https://prtimes.jp/main/html/rd/p/000000145.000031375.html,pr@st.inc,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社オトバンク,https://prtimes.jp/main/html/rd/p/000000305.000034798.html,hsaeki@otobank.co.jp,03-5805-2915,　佐伯帆乃香,アプリ,2023-06-25 12:16:40,"",""
株式会社Relic,https://prtimes.jp/main/html/rd/p/000000157.000016318.html,info@relic.co.jp,03-6455-0735,佐々木,アプリ,2023-06-25 12:16:40,"",""
GMOインターネットグループ,https://prtimes.jp/main/html/rd/p/000003985.000000136.html,pr＠gmo.jp,03-5456-2555,　山崎,アプリ,2023-06-25 12:16:40,"",""
株式会社ナック,https://prtimes.jp/main/html/rd/p/000000122.000009874.html,irpr@nacoo.com,03-3346-2111,松田,アプリ,2023-06-25 12:16:40,"",""
Futonto 株式会社,https://prtimes.jp/main/html/rd/p/000000398.000019730.html,press@futonto.co.jp,042-732-6667,坂野,アプリ,2023-06-25 12:16:40,"",""
株式会社VIC GAME STUDIOS JAPAN,https://prtimes.jp/main/html/rd/p/000000011.000106108.html,vicjp@vicgamestudios.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社タスキ,https://prtimes.jp/main/html/rd/p/000000063.000051940.html,ir@tasukicorp.co.jp,03-6812-9330,高柴,アプリ,2023-06-25 12:16:40,"",""
DreamHack Japan実行委員会,https://prtimes.jp/main/html/rd/p/000000020.000109760.html,dreamhackjp_pr@vectorinc.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ギックス,https://prtimes.jp/main/html/rd/p/000000115.000080464.html,info@gixo.jp,03-3452-1221,"",アプリ,2023-06-25 12:16:40,"",""
株式会社トレタ,https://prtimes.jp/main/html/rd/p/000000050.000038464.html,pr@toreta.in,03-6431-9006,"",アプリ,2023-06-25 12:16:40,"",""
株式会社ツナググループ・ホールディングス,https://prtimes.jp/main/html/rd/p/000000273.000004558.html,tghd-info@tsunagu-grp.jp,03-3569-2790,"",アプリ,2023-06-25 12:16:40,"",""
株式会社Gemcook,https://prtimes.jp/main/html/rd/p/000000003.000074835.html,info@gemcook.com,06-6485-8112,有田 秀永,アプリ,2023-06-25 12:16:40,"",""
株式会社HYBE JAPAN,https://prtimes.jp/main/html/rd/p/000000240.000045862.html,press_hbj_corporate@hybecorp.com,"","",アプリ,2023-06-25 12:16:40,"",""
HiClub株式会社,https://prtimes.jp/main/html/rd/p/000000031.000079070.html,info@hiclub.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社SKIYAKI,https://prtimes.jp/main/html/rd/p/000000942.000017372.html,info@skiyaki.com,03-5428-8378,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社トルビズオン,https://prtimes.jp/main/html/rd/p/000000082.000046605.html,service@truebizon.co.jp,070-8487-9227,中園,テクノロジー,2023-06-25 12:16:40,"",""
日本マネジメント総合研究所合同会社,https://prtimes.jp/main/html/rd/p/000000455.000025058.html,info@jmri.co.jp,050-3196-4513,"",テクノロジー,2023-06-25 12:16:40,"",""
Groov株式会社,https://prtimes.jp/main/html/rd/p/000000024.000098805.html,groov-info@groov.co.jp,04-7167-3004,⽥⼝直起,テクノロジー,2023-06-25 12:16:40,"",""
株式会社ビルドサロン,https://prtimes.jp/main/html/rd/p/000000628.000048988.html,info@buildsalon.co.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
株式会社セガ,https://prtimes.jp/main/html/rd/p/000005124.000005397.html,koba@dsds.co.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
Guangzhou Shangke Information Technology Co. Ltd,https://prtimes.jp/main/html/rd/p/000000273.000080488.html,stefanli@teclast.com,"","",テクノロジー,2023-06-25 12:16:40,"",""
株式会社ディ・テクノ,https://prtimes.jp/main/html/rd/p/000000516.000006779.html,yu.matsumoto@d-techno.jp,"",松本（まつもと）,テクノロジー,2023-06-25 12:16:40,"",""
株式会社Typebase,https://prtimes.jp/main/html/rd/p/000000007.000106834.html,info@typebase.dev,"","",テクノロジー,2023-06-25 12:16:40,"",""
株式会社ファーストロジック,https://prtimes.jp/main/html/rd/p/000000426.000001240.html,rakumachi@firstlogic.co.jp,03-6833-9438,金子（かねこ）・尾藤（びとう）,テクノロジー,2023-06-25 12:16:40,"",""
BuzzFeed Japan株式会社,https://prtimes.jp/main/html/rd/p/000000150.000019238.html,japan-pr@buzzfeed.com,080-9163-0196,　三品（みしな）,テクノロジー,2023-06-25 12:16:40,"",""
VicOne Inc.,https://prtimes.jp/main/html/rd/p/000000001.000122275.html,vicone-pr@kyodo-pr.co.jp,"",松野、大島、阿蘇品（あそしな）,テクノロジー,2023-06-25 12:16:40,"",""
株式会社IoTコンサルティング,https://prtimes.jp/main/html/rd/p/000000041.000019031.html,info@economical.co.jp,03-6277-7530,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社Ginco,https://prtimes.jp/main/html/rd/p/000000076.000031033.html,press@ginco.co.jp,"",上月,テクノロジー,2023-06-25 12:16:40,"",""
東日本電信電話株式会社,https://prtimes.jp/main/html/rd/p/000000625.000098811.html,kouhou-ibaraki-gm@east.ntt.co.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
独立行政法人日本スポーツ振興センター,https://prtimes.jp/main/html/rd/p/000000055.000045157.html,winner.pr@materialpr.jp,03-5410-9124,稲生（070-7522-1104）／髙田（070-8834-6138）／及川（070-4540-7718）,テクノロジー,2023-06-25 12:16:40,"",""
GROOVE X 株式会社,https://prtimes.jp/main/html/rd/p/000000216.000055543.html,lovot_pr@groove-x.com,"",金子(070-3197-6111)、森川(080-7179-4917)、石曽根,テクノロジー,2023-06-25 12:16:40,"",""
合同会社EXNOA,https://prtimes.jp/main/html/rd/p/000004103.000032953.html,dmmgames-press@dmm.com,03-5797-8914,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社WOWOWプラス,https://prtimes.jp/main/html/rd/p/000000159.000084776.html,suzuki.mako@wowowplus.co.jp,03-6702-0240,"",テクノロジー,2023-06-25 12:16:40,"",""
スポーツナビ株式会社,https://prtimes.jp/main/html/rd/p/000000103.000077000.html,sportsnavi-pr@mail.yahoo.co.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
株式会社フジクラ,https://prtimes.jp/main/html/rd/p/000000040.000056990.html,wwwadmin@jp.fujikura.com FAX：03-5606-1501,03-5606-1030,コーポレートコミュニケーション部,テクノロジー,2023-06-25 12:16:40,"",""
株式会社セキド,https://prtimes.jp/main/html/rd/p/000000562.000016343.html,t.fujii@sekidocorp.com,03-5843-7836,藤井,テクノロジー,2023-06-25 12:16:40,"",""
ＹＡＣＹＢＥＲ株式会社,https://prtimes.jp/main/html/rd/p/000000095.000027568.html,ishii@yacyber.co.jp,06-6226-7894,石井,テクノロジー,2023-06-25 12:16:40,"",""
ネットアップ合同会社,https://prtimes.jp/main/html/rd/p/000000080.000047898.html,netapp@vectorinc.co.jp,"",長嶋・小黒・宮下・山崎,テクノロジー,2023-06-25 12:16:40,"",""
東日本電信電話株式会社,https://prtimes.jp/main/html/rd/p/000000623.000098811.html,kanagawa-kouhou-ml@east.ntt.co.jp,"",　水谷、金石、徳丸,テクノロジー,2023-06-25 12:16:40,"",""
東日本電信電話株式会社,https://prtimes.jp/main/html/rd/p/000000622.000098811.html,kouhou-tokyo-ml@east.ntt.co.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
クラスメソッド株式会社,https://prtimes.jp/main/html/rd/p/000000328.000014901.html,pr@classmethod.jp,"",（土肥）,テクノロジー,2023-06-25 12:16:40,"",""
株式会社アイデミー,https://prtimes.jp/main/html/rd/p/000000277.000028316.html,pr@aidemy.co.jp,"",　濱谷（はまたに）,テクノロジー,2023-06-25 12:16:40,"",""
LINGER Corp.,https://prtimes.jp/main/html/rd/p/000000009.000101595.html,mai0923@lingercorp.com,050-5539-7447,吉野,テクノロジー,2023-06-25 12:16:40,"",""
株式会社外為どっとコム,https://prtimes.jp/main/html/rd/p/000000436.000052387.html,seminar@gaitamesk.info,03-5733-3061,大嶋、小野,テクノロジー,2023-06-25 12:16:40,"",""
株式会社natos,https://prtimes.jp/main/html/rd/p/000000011.000093582.html,contact@natos.jp,03-6262-7708,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社スタイルポート,https://prtimes.jp/main/html/rd/p/000000071.000031224.html,https://styleport.co.jp/contact/,03-6812-9555,遠藤　a.endo@styleport.co.jp/070-4305-6895,テクノロジー,2023-06-25 12:16:40,"",""
株式会社G-gen,https://prtimes.jp/main/html/rd/p/000000062.000094022.html,marketing@g-gen.co.jp,03-6387-3115,鈴木、髙松,テクノロジー,2023-06-25 12:16:40,"",""
APPLE TREE 株式会社,https://prtimes.jp/main/html/rd/p/000000053.000030909.html,info@apple-tree.co.jp,06-6710-9061,田中　奎亮,テクノロジー,2023-06-25 12:16:40,"",""
株式会社エフェクチュアル,https://prtimes.jp/main/html/rd/p/000000123.000039683.html,a.hiraga.nj@effectual.co.jp,03-6447-2175,平賀（ひらが）,テクノロジー,2023-06-25 12:16:40,"",""
ARCHIPELAGO株式会社,https://prtimes.jp/main/html/rd/p/000000001.000121884.html,contact@arcplg.com,03-6823-5173,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社うるる,https://prtimes.jp/main/html/rd/p/000000160.000049287.html,pr@uluru.jp,"",小林・高橋,テクノロジー,2023-06-25 12:16:40,"",""
株式会社ＮＴＴデータ,https://prtimes.jp/main/html/rd/p/000000144.000016308.html,nttdata-cert@kits.nttdata.co.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
GMOインターネットグループ,https://prtimes.jp/main/html/rd/p/000004003.000000136.html,pr@gmo.jp,03-5456-2555,"",テクノロジー,2023-06-25 12:16:40,"",""
AnyMind Group株式会社,https://prtimes.jp/main/html/rd/p/000000282.000018392.html,jp-pr@anymindgroup.com / moto@anyminggroup.com,03-6384-5540,"",テクノロジー,2023-06-25 12:16:40,"",""
パナソニック インフォメーションシステムズ株式会社,https://prtimes.jp/main/html/rd/p/000000581.000001723.html,press-pisc@ml.jp.panasonic.com,06-6906-2801,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社ダイテック,https://prtimes.jp/main/html/rd/p/000000015.000095448.html,etani.akira@daitec.co.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
楽天グループ株式会社,https://prtimes.jp/main/html/rd/p/000001963.000005889.html,rmobile-pr-s@mail.rakuten.com,"","",テクノロジー,2023-06-25 12:16:40,"",""
LRM株式会社,https://prtimes.jp/main/html/rd/p/000000096.000054434.html,doi@lrm.jp,078-325-5600,土井（どい）,テクノロジー,2023-06-25 12:16:40,"",""
Polimill株式会社,https://prtimes.jp/main/html/rd/p/000000093.000088829.html,press@polimill.com,"",三神涼（みかみりょう）,テクノロジー,2023-06-25 12:16:40,"",""
株式会社TENT,https://prtimes.jp/main/html/rd/p/000000018.000028019.html,info@tent-inc.jp,"",小林,テクノロジー,2023-06-25 12:16:40,"",""
株式会社クロスキャット,https://prtimes.jp/main/html/rd/p/000000115.000025288.html,： pr@xcat.co.jp,03-3474-5251,： 森田,テクノロジー,2023-06-25 12:16:40,"",""
株式会社オービックビジネスコンサルタント,https://prtimes.jp/main/html/rd/p/000000125.000026471.html,pr@obc.co.jpホームページ　https://www.obc.co.jp/,03-3342-1950,"",テクノロジー,2023-06-25 12:16:40,"",""
パーフェクト株式会社,https://prtimes.jp/main/html/rd/p/000000135.000066482.html,contact_pr_jpn@PerfectCorp.com,03-6809-1135,"",テクノロジー,2023-06-25 12:16:40,"",""
アンリツ株式会社,https://prtimes.jp/main/html/rd/p/000000011.000109169.html,PR@anritsu.com,046-223-1111,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社アイティフォー,https://prtimes.jp/main/html/rd/p/000000051.000060050.html,kouhou_ml@itfor.co.jp,03-5275-7841,"",テクノロジー,2023-06-25 12:16:40,"",""
能美防災株式会社,https://prtimes.jp/main/html/rd/p/000000019.000085174.html,kouhou@nohmi.co.jp,03-3265-0211,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社スタメン,https://prtimes.jp/main/html/rd/p/000000109.000023589.html,pr@stmn.co.jp,052-990-2412,上田 すなお,テクノロジー,2023-06-25 12:16:40,"",""
(ISC)²,https://prtimes.jp/main/html/rd/p/000000012.000103584.html,ISC2JapanPR@ashton.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
株式会社アバランチ,https://prtimes.jp/main/html/rd/p/000000012.000034493.html,mackerel38-nft@avalanche.co.jp,06-6479-2401,コミュニケーションデザイン室　西川,テクノロジー,2023-06-25 12:16:40,"",""
株式会社オルツ,https://prtimes.jp/main/html/rd/p/000000032.000111359.html,alt.ai@vectorinc.co.jp,03-6380-7076,⻄澤,テクノロジー,2023-06-25 12:16:40,"",""
株式会社レンサ,https://prtimes.jp/main/html/rd/p/000000404.000074768.html,info@rensa.co.jp,03-6457-5500,山田吉成,テクノロジー,2023-06-25 12:16:40,"",""
株式会社ビーグリー,https://prtimes.jp/main/html/rd/p/000000346.000034768.html,pr_ir@beaglee.com,03-6706-4000,宛,テクノロジー,2023-06-25 12:16:40,"",""
freee株式会社,https://prtimes.jp/main/html/rd/p/000001161.000006428.html,pr@freee.co.jp,"",(PR)　品田真季,テクノロジー,2023-06-25 12:16:40,"",""
株式会社ZWEI,https://prtimes.jp/main/html/rd/p/000000133.000066446.html,pr@zwei.co.jp,03-6858-0281,"",テクノロジー,2023-06-25 12:16:40,"",""
ＴＩＳ株式会社,https://prtimes.jp/main/html/rd/p/000001355.000011650.html,press@intec.co.jp,03-5337-4232,"",テクノロジー,2023-06-25 12:16:40,"",""
株式会社コンカー,https://prtimes.jp/main/html/rd/p/000000137.000048283.html,concur@inoue-pr.com,03-6737-4300,白川,テクノロジー,2023-06-25 12:16:40,"",""
株式会社KADOKAWA,https://prtimes.jp/main/html/rd/p/000012693.000007006.html,ds-maho-press@ml.kadokawa.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
株式会社ターン・アンド・フロンティア,https://prtimes.jp/main/html/rd/p/000000002.000107928.html,pr@taf-jp.com,06-7878-8555,岩本、北畠,テクノロジー,2023-06-25 12:16:40,"",""
ウイングアーク１ｓｔ株式会社,https://prtimes.jp/main/html/rd/p/000000110.000053341.html,pr@wingarc.com,03-5962-7400,　山本・古荘・中谷,テクノロジー,2023-06-25 12:16:40,"",""
株式会社慶洋エンジニアリング,https://prtimes.jp/main/html/rd/p/000000056.000039659.html,h_gonpa@keiyoeng.co.jp,03-3431-8151,権八,テクノロジー,2023-06-25 12:16:40,"",""
株式会社QuickWork,https://prtimes.jp/main/html/rd/p/000000280.000049221.html,pr@quickwork.jp,"",山下、熊谷,テクノロジー,2023-06-25 12:16:40,"",""
株式会社レコチョク,https://prtimes.jp/main/html/rd/p/000001557.000002747.html,pub@recochoku.co.jp,"","",テクノロジー,2023-06-25 12:16:40,"",""
株式会社Leaner Technologies,https://prtimes.jp/main/html/rd/p/000000091.000044088.html,pr@leaner.co.jp,03-4500-8520,"",テクノロジー,2023-06-25 12:16:40,"",""
